timestamp,open,high,low,close,volume
2025-01-01T00:00:00,49975.0,50015.0,49935.0,49975.0,1500.0
2025-01-01T01:00:00,49975.0,50015.0,49905.0,49945.0,1500.0
2025-01-01T02:00:00,49945.0,49985.0,49870.0,49910.0,1500.0
2025-01-01T03:00:00,49910.0,49950.0,49845.0,49885.0,1500.0
2025-01-01T04:00:00,49885.0,49925.0,49815.0,49855.0,1500.0
2025-01-01T05:00:00,49855.0,49895.0,49780.0,49820.0,1500.0
2025-01-01T06:00:00,49820.0,49860.0,49755.0,49795.0,1500.0
2025-01-01T07:00:00,49795.0,49835.0,49725.0,49765.0,1500.0
2025-01-01T08:00:00,49765.0,49805.0,49690.0,49730.0,1500.0
2025-01-01T09:00:00,49730.0,49770.0,49665.0,49705.0,1500.0
2025-01-01T10:00:00,49705.0,49745.0,49635.0,49675.0,1500.0
2025-01-01T11:00:00,49675.0,49715.0,49600.0,49640.0,1500.0
2025-01-01T12:00:00,49640.0,49680.0,49575.0,49615.0,1500.0
2025-01-01T13:00:00,49615.0,49655.0,49545.0,49585.0,1500.0
2025-01-01T14:00:00,49585.0,49625.0,49510.0,49550.0,1500.0
2025-01-01T15:00:00,49550.0,49590.0,49485.0,49525.0,1500.0
2025-01-01T16:00:00,49525.0,49565.0,49455.0,49495.0,1500.0
2025-01-01T17:00:00,49495.0,49535.0,49420.0,49460.0,1500.0
2025-01-01T18:00:00,49460.0,49500.0,49395.0,49435.0,1500.0
2025-01-01T19:00:00,49435.0,49475.0,49365.0,49405.0,1500.0
2025-01-01T20:00:00,49405.0,49505.0,49365.0,49465.0,1500.0
2025-01-01T21:00:00,49465.0,49565.0,49425.0,49525.0,1500.0
2025-01-01T22:00:00,49525.0,49625.0,49485.0,49585.0,1500.0
2025-01-01T23:00:00,49585.0,49685.0,49545.0,49645.0,1500.0
2025-01-02T00:00:00,49645.0,49745.0,49605.0,49705.0,1500.0
2025-01-02T01:00:00,49705.0,49805.0,49665.0,49765.0,1500.0
2025-01-02T02:00:00,49765.0,49865.0,49725.0,49825.0,1500.0
2025-01-02T03:00:00,49825.0,49925.0,49785.0,49885.0,1500.0
2025-01-02T04:00:00,49885.0,49985.0,49845.0,49945.0,1500.0
2025-01-02T05:00:00,49945.0,50045.0,49905.0,50005.0,1500.0
2025-01-02T06:00:00,50005.0,50105.0,49965.0,50065.0,1500.0
2025-01-02T07:00:00,50065.0,50165.0,50025.0,50125.0,1500.0
2025-01-02T08:00:00,50125.0,50225.0,50085.0,50185.0,1500.0
2025-01-02T09:00:00,50185.0,50285.0,50145.0,50245.0,1500.0
2025-01-02T10:00:00,50245.0,50345.0,50205.0,50305.0,1500.0
2025-01-02T11:00:00,50305.0,50345.0,50190.0,50230.0,1500.0
2025-01-02T12:00:00,50230.0,50280.0,50190.0,50240.0,1500.0
2025-01-02T13:00:00,50240.0,50280.0,50125.0,50165.0,1500.0
2025-01-02T14:00:00,50165.0,50215.0,50125.0,50175.0,1500.0
2025-01-02T15:00:00,50175.0,50215.0,50060.0,50100.0,1500.0
2025-01-02T16:00:00,50100.0,50150.0,50060.0,50110.0,1500.0
2025-01-02T17:00:00,50110.0,50150.0,49995.0,50035.0,1500.0
2025-01-02T18:00:00,50035.0,50085.0,49995.0,50045.0,1500.0
2025-01-02T19:00:00,50045.0,50085.0,49930.0,49970.0,1500.0
2025-01-02T20:00:00,49970.0,50020.0,49930.0,49980.0,1500.0
2025-01-02T21:00:00,49980.0,50020.0,49865.0,49905.0,1500.0
2025-01-02T22:00:00,49905.0,49955.0,49865.0,49915.0,1500.0
2025-01-02T23:00:00,49915.0,49955.0,49800.0,49840.0,1500.0
